"County","Renewable.v.FossilFuel","FuelType","total.np.cap"
"Rockingham County","Fossil Fuel","Natural Gas",1675.4
"Rockingham County","Renewable Fuel","Hydroelectric",1.2
"Rockingham County","Renewable Fuel","Solar",24.9
"Rowan County","Fossil Fuel","Natural Gas",1889.9
"Rowan County","Fossil Fuel","Petroleum Product",2.2
"Rowan County","Renewable Fuel","Solar",46.3
"Rutherford County","Fossil Fuel","Petroleum Product",1
"Rutherford County","Renewable Fuel","Hydroelectric",3.6
"Rutherford County","Renewable Fuel","Solar",118.6
"Sampson County","Fossil Fuel","Petroleum Product",2.4
"Sampson County","Renewable Fuel","Gaseous Renewable Fuel",9.6
"Sampson County","Renewable Fuel","Solar",42.2
"Scotland County","Renewable Fuel","Solar",126.8
"Stanly County","Fossil Fuel","Petroleum Product",5.4
"Stanly County","Renewable Fuel","Hydroelectric",31.4
"Stanly County","Renewable Fuel","Solar",5
"Stokes County","Fossil Fuel","Coal",NA
"Stokes County","Renewable Fuel","Solar",8.9
"Surry County","Renewable Fuel","Gaseous Renewable Fuel",1.6
"Surry County","Renewable Fuel","Solar",7.7
"Swain County","Renewable Fuel","Hydroelectric",254.7
"Union County","Fossil Fuel","Natural Gas",30
"Union County","Fossil Fuel","Petroleum Product",1.8
"Union County","Renewable Fuel","Solar",74.9
"Vance County","Renewable Fuel","Solar",107.8
"Wake County","Fossil Fuel","Natural Gas",17.8
"Wake County","Nuclear","Nuclear",950.9
"Wake County","Renewable Fuel","Gaseous Renewable Fuel",9
"Wake County","Renewable Fuel","Solar",21.6
"Warren County","Renewable Fuel","Solar",50.9
"Washington County","Renewable Fuel","Solar",99
"Wayne County","Fossil Fuel","Natural Gas",2047.7
"Wayne County","Renewable Fuel","Gaseous Renewable Fuel",3.3
"Wayne County","Renewable Fuel","Solar",104.8
"Wilson County","Fossil Fuel","Petroleum Product",2.8
"Wilson County","Renewable Fuel","Solar",128.4
"Yadkin County","Renewable Fuel","Solar",13.5
